species,individual,spad,canopy,plant_group
dry_mar,2,43.56,closed,Fern
dry_mar,3,44.04,closed,Fern
dry_mar,4,43.5,closed,Fern
dry_mar,5,44.76,closed,Fern
dry_mar,6,45,closed,Fern
dry_mar,7,45.18,closed,Fern
dry_mar,8,46.62,closed,Fern
dry_mar,9,44.84,closed,Fern
dry_mar,10,45.2,closed,Fern
ono_sen,1,26.74,open,Fern
ono_sen,2,23.48,open,Fern
ono_sen,3,22.96,open,Fern
ono_sen,4,28.2,open,Fern
ono_sen,5,28.78,open,Fern
ono_sen,6,40.46,open,Fern
ono_sen,7,23.64,open,Fern
ono_sen,8,34.06,open,Fern
ono_sen,9,28.1,open,Fern
ono_sen,10,33.06,open,Fern
osm_cin,1,27.42,open,Fern
osm_cin,2,25.28,open,Fern
osm_cin,3,29.82,open,Fern
osm_cin,4,28.06,open,Fern
osm_cin,5,27.76,open,Fern
osm_cin,6,30.64,open,Fern
osm_cin,7,25.72,open,Fern
osm_cin,8,31.14,open,Fern
osm_cin,9,29.26,open,Fern
osm_cin,10,31.9,open,Fern
osm_cla,1,42.06,closed,Fern
osm_cla,2,44.5,closed,Fern
osm_cla,3,38.14,closed,Fern
osm_cla,4,40.2,closed,Fern
osm_cla,5,26.58,closed,Fern
osm_cla,6,43.12,closed,Fern
osm_cla,7,40.8,closed,Fern
osm_cla,8,39.9,closed,Fern
osm_cla,9,38,closed,Fern
osm_cla,10,39.12,closed,Fern
phe_con,1,35.06,closed,Fern
phe_con,2,36.52,closed,Fern
phe_con,3,36.08,closed,Fern
phe_con,4,36.46,closed,Fern
phe_con,5,33.5,closed,Fern
phe_con,6,31.92,closed,Fern
phe_con,7,28.96,closed,Fern
phe_con,8,31.16,closed,Fern
phe_con,9,30.6,closed,Fern
phe_con,10,29.48,closed,Fern
pol_acr,1,44.9,closed,Fern
pol_acr,2,45.72,closed,Fern
pol_acr,3,58.58,closed,Fern
pol_acr,4,57.38,closed,Fern
pol_acr,5,60.86,closed,Fern
pol_acr,6,61.48,closed,Fern
pol_acr,7,51.88,closed,Fern
pol_acr,8,49.56,closed,Fern
pol_acr,9,67.1,closed,Fern
pol_acr,10,53.3,closed,Fern
pte_aqu,1,36.44,closed,Fern
pte_aqu,2,30.64,closed,Fern
pte_aqu,3,33.72,closed,Fern
pte_aqu,4,30.28,closed,Fern
pte_aqu,5,32.84,closed,Fern
pte_aqu,6,31.46,closed,Fern
pte_aqu,7,35.34,closed,Fern
pte_aqu,8,34.92,closed,Fern
pte_aqu,9,35.22,closed,Fern
pte_aqu,10,35.14,closed,Fern
the_nov,1,25.94,closed,Fern
the_nov,2,29.32,closed,Fern
the_nov,3,30.1,closed,Fern
the_nov,4,28.3,closed,Fern
the_nov,5,26.58,closed,Fern
the_nov,6,25.28,closed,Fern
the_nov,7,30.1,closed,Fern
the_nov,8,32.54,closed,Fern
the_nov,9,29.28,closed,Fern
the_nov,10,29.1,closed,Fern
